"ISO Country Code", "Region Name", "ISO_3166-2 Region Code", "Bytes3 Result"
AZ,Naftalan,AZ-NA,4e4100
AZ,Naxcivan,AZ-NX,4e5800
AZ,Neftcala,AZ-NEF,4e4546
AZ,Oguz,AZ-OGU,4f4755
AZ,Qabala,AZ-QAB,514142
AZ,Qax,AZ-QAX,514158
AZ,Qazax,AZ-QAZ,51415a
AZ,Qobustan,AZ-QOB,514f42
AZ,Quba,AZ-QBA,514241
AZ,Qubadli,AZ-QBI,514249
AZ,Qusar,AZ-QUS,515553
AZ,Saatli,AZ-SAT,534154
AZ,Sabirabad,AZ-SAB,534142
AZ,Saki,AZ-SA,534100
AZ,Salyan,AZ-SAL,53414c
AZ,Samaxi,AZ-SMI,534d49
AZ,Samkir,AZ-SKR,534b52
AZ,Samux,AZ-SMX,534d58
AZ,Sirvan,AZ-SR,535200
AZ,Sumqayit,AZ-SM,534d00
AZ,Susa,AZ-SUS,535553
AZ,Tartar,AZ-TAR,544152
AZ,Tovuz,AZ-TOV,544f56
AZ,Ucar,AZ-UCA,554341
AZ,Xacmaz,AZ-XAC,584143
AZ,Xankandi,AZ-XA,584100
AZ,Xizi,AZ-XIZ,58495a
AZ,Xocali,AZ-XCI,584349
AZ,Xocavand,AZ-XVD,585644
AZ,Yardimli,AZ-YAR,594152
AZ,Yevlax,AZ-YE,594500
AZ,Zangilan,AZ-ZAN,5a414e
AZ,Zaqatala,AZ-ZAQ,5a4151
AZ,Zardab,AZ-ZAR,5a4152
BA,Federacija Bosne i Hercegovine,BA-BIH,424948
BA,Republika Srpska,BA-SRP,535250
BB,Christ Church,BB-01,303100
BB,Saint James,BB-04,303400
BB,Saint Joseph,BB-06,303600
BB,Saint Michael,BB-08,303800
BB,Saint Peter,BB-09,303900
BD,Barisal,BD-06,303600
BD,Chittagong,BD-10,313000
BD,Dhaka,BD-13,313300
BD,Khulna,BD-27,323700
BD,Rajshahi,BD-54,353400
BD,Rangpur,BD-55,353500
BD,Sylhet,BD-60,363000
BE,Antwerpen,BE-VAN,56414e
BE,Brabant wallon,BE-WBR,574252
BE,Brussels Hoofdstedelijk Gewest,BE-BRU,425255
BE,Hainaut,BE-WHT,574854
BE,Liege,BE-WLG,574c47
BE,Limburg,BE-VLI,564c49
BE,Luxembourg,BE-WLX,574c58
BE,Namur,BE-WNA,574e41
BE,Oost-Vlaanderen,BE-VOV,564f56
BE,Vlaams-Brabant,BE-VBR,564252
BE,West-Vlaanderen,BE-VWV,565756
BF,Bale,BF-BAL,42414c
BF,Bam,BF-BAM,42414d
BF,Banwa,BF-BAN,42414e
BF,Bazega,BF-BAZ,42415a
BF,Bougouriba,BF-BGR,424752
BF,Boulgou,BF-BLG,424c47
BF,Boulkiemde,BF-BLK,424c4b
BF,Comoe,BF-COM,434f4d
BF,Ganzourgou,BF-GAN,47414e
BF,Gnagna,BF-GNA,474e41
BF,Gourma,BF-GOU,474f55
BF,Houet,BF-HOU,484f55
BF,Ioba,BF-IOB,494f42
BF,Kadiogo,BF-KAD,4b4144
BF,Kenedougou,BF-KEN,4b454e
BF,Komondjari,BF-KMD,4b4d44
BF,Kompienga,BF-KMP,4b4d50
BF,Kossi,BF-KOS,4b4f53
BF,Koulpelogo,BF-KOP,4b4f50
BF,Kouritenga,BF-KOT,4b4f54
BF,Kourweogo,BF-KOW,4b4f57
BF,Leraba,BF-LER,4c4552
BF,Loroum,BF-LOR,4c4f52
BF,Mouhoun,BF-MOU,4d4f55
BF,Nahouri,BF-NAO,4e414f
BF,Namentenga,BF-NAM,4e414d
BF,Nayala,BF-NAY,4e4159
BF,Noumbiel,BF-NOU,4e4f55
BF,Oubritenga,BF-OUB,4f5542
BF,Oudalan,BF-OUD,4f5544
BF,Passore,BF-PAS,504153
BF,Poni,BF-PON,504f4e
BF,Sanguie,BF-SNG,534e47
